,0,1,2,3,4,5,6,7,8,9
0,-1.7293137,0.092438735,0.79466486,-0.03927476,-2.488323,-3.8576212,0.8344432,2.1115646,-0.63306814,1.2691823
1,-1.4131556,0.514606,1.0051947,-0.91345906,-2.156401,-4.050165,0.63182503,1.3100567,-0.22678252,0.75773776
2,-0.599987,-1.0595052,0.61928165,1.5464609,-1.7285103,-1.1314673,-0.58034945,-1.180488,-0.5763985,0.1969134
3,-0.011548469,0.2598406,2.7724757,-0.38683236,-2.244841,-3.416509,0.09113714,-0.19181791,-1.3931938,0.5616793
4,-1.7170141,0.054338478,1.0222157,0.13548824,-2.4461138,-3.9944186,0.7731151,2.282288,-0.7044398,1.1677992
5,-1.2208371,0.3939983,1.0917424,-0.8728815,-2.1650817,-3.9482896,0.58297026,1.1923618,-0.4293316,0.77097154
6,-0.32402208,-0.17450368,2.2788596,-0.7950257,-2.2063677,-4.163247,0.60296774,0.16198635,-0.17088398,0.40236577
7,-0.28988552,-1.0526674,1.018305,1.4814306,-1.5909134,-1.3215199,-0.81228656,-1.4510052,-0.41691136,0.17097862
8,-1.7859961,0.27738538,0.4145528,0.25856566,-2.6241484,-3.8544364,0.66073406,2.483246,-0.78442156,1.3939025
9,-1.7663238,0.20474991,1.4662478,-0.4688507,-2.442798,-4.0519905,0.7318507,1.0827852,-0.54785997,0.8900645
10,-1.8538784,0.17670125,0.44517636,0.16017482,-2.4410768,-3.9242275,0.6661453,2.2707007,-0.85764956,1.2633126
11,-1.747673,0.2508677,1.7532256,-0.5583415,-2.2812474,-4.110672,1.0335506,1.004247,-0.3539893,0.96074915
12,-0.49885228,-1.1447706,0.8109053,1.7632409,-1.724512,-1.8980362,-1.014652,-1.2328506,-0.36824256,0.25760677
13,-2.1751668,0.30724487,0.4733541,0.36083895,-2.2986298,-3.9058216,0.12125508,1.8313347,-0.35553524,1.5736126
14,-1.5996325,0.1317226,1.515698,-0.71830183,-1.9009391,-4.005992,1.3328005,0.8543095,-0.051758867,1.3971937
15,-0.5586151,-1.255668,0.6514113,1.6811919,-1.5578834,-1.7783078,-0.7038985,-1.174513,-0.44502014,0.056272775
16,-2.095838,0.35955662,0.52138746,0.30848756,-2.2972028,-3.800667,0.21145098,1.9404362,-0.39133972,1.5031395
17,-1.582277,0.11232467,1.2633289,-0.6143592,-1.8802831,-3.958695,1.1722132,0.80478626,-0.046171334,1.4695148
18,-2.3782399,0.8500339,0.95902896,-0.6981369,-1.978537,-2.5728579,-0.4401804,0.865967,-1.0801358,1.3497095
19,-2.4265568,0.50078124,0.674139,0.52340937,-2.6775377,-3.7871094,-0.065883785,1.8150393,-0.42925572,1.3706622
20,-1.4019464,0.6511924,1.2731482,-0.67462015,-1.7814207,-4.1278715,0.7989147,-0.060516022,0.029362611,1.1285934
21,-2.305796,0.40223017,0.88253117,0.7752004,-2.565847,-3.9120877,-0.09097275,1.6548187,-0.42195183,1.4545195
22,-1.4212878,0.75750226,1.3065534,-0.4386779,-1.7694514,-3.9936895,0.8836022,0.060075298,0.08371702,1.1328018
23,-0.22871181,0.34386253,2.4276445,-0.4786942,-2.6200182,-3.3770518,0.2643371,-0.27742124,-1.3958338,0.67605734
24,-1.8301092,0.45587227,1.4291465,-0.10234147,-2.1612902,-3.8005855,0.26022276,0.99614066,-0.48515743,1.5941895
25,-1.1934409,0.35833535,1.0664971,-0.5328155,-1.6689707,-4.103745,0.8851893,-0.24508291,-0.56050384,1.1591803
26,-0.3079394,-0.5046566,2.4097726,-0.3774332,-2.3164806,-4.0666485,1.0363175,0.27251723,-0.2431148,0.27833274
27,-1.8343781,0.38551587,1.1534331,-0.2411421,-2.2221756,-4.1991596,0.5422681,1.0060829,-0.7682767,1.65486
28,-1.2470051,0.47235906,0.90762466,-0.76514477,-1.5458646,-4.2098618,1.0071472,-0.13796684,-0.48526996,1.1944572
29,-1.7709266,0.28309008,1.5738735,-0.2883828,-2.2851808,-3.9700744,0.82206976,1.4176453,-0.47184232,1.4560236
30,-1.1877749,0.6651073,0.90483725,-1.3089538,-1.9360588,-4.3663917,0.94421077,0.01685797,-1.0631579,0.8674135
31,-1.6972357,0.69135696,1.2899021,-1.7718359,-1.1420473,-3.3633587,0.111396864,-0.1794425,-1.2561551,0.38817587
32,-1.7613982,0.2084222,1.5032005,-0.39393535,-2.2759266,-3.942571,0.7018376,1.554979,-0.5634552,1.4899805
33,-1.0720189,0.5896551,0.8741945,-1.3959136,-2.243133,-4.230201,0.7111697,0.15854827,-0.9798111,0.9625218
34,-1.6971639,0.6309971,1.2481898,-0.32127213,-2.375606,-3.995708,0.752974,0.86348116,-0.6876387,1.8564768
35,-1.4639018,0.2379229,1.2245775,-1.0220258,-2.2499933,-4.0286946,1.1184822,-0.02864977,-1.2610931,0.84623617
36,-2.3285754,0.84628916,0.8178375,-0.79734486,-2.0694566,-2.4658864,-0.54616874,0.8509126,-0.7795897,1.7673384
37,-0.7071988,0.4912934,1.7918996,0.117139846,-1.8171946,-4.069227,0.30302274,-0.80599433,-1.0220008,1.2217932
38,-1.7677119,0.577059,1.5145395,-0.31734717,-2.2505102,-4.022348,0.88502455,1.1861491,-0.76699793,1.2340422
39,-1.4292921,0.27518323,1.2959136,-1.0380076,-2.454549,-4.168291,0.98653907,-0.23342767,-1.1950924,0.84162164
