,0,1,2,3,4,5,6,7,8,9
0,-1.2069812,-0.8282573,-0.23900469,0.5654858,0.96176404,0.53936327,-1.3958948,1.826089,-1.0629132,-1.575866
1,-1.617314,0.78972787,0.09946987,0.29723242,0.92872,-0.6187949,-1.785702,1.8606601,-0.13278964,-1.4966682
2,0.06925916,-0.5899247,-1.2304064,-0.052221693,1.1454442,-0.9561634,0.34126213,0.17223743,-1.1419492,0.53122395
3,-1.5243148,0.8645482,-2.0215573,-1.5041944,1.0335157,-0.4522587,-0.6563925,0.8392865,-1.2328482,0.7619789
4,0.20627198,-1.0952942,-0.35927427,-0.3495852,1.1557605,-0.8076015,-0.8640057,-0.5722653,-0.72699106,-1.2150232
5,0.9133422,-0.08922802,0.2708106,0.5722784,0.61804014,0.12581797,-0.7871283,-0.06850077,-1.5911521,-1.2018504
6,3.6667352,1.0929184,-2.6772084,1.0983753,0.9628715,-0.15863523,0.60915715,-1.6530669,3.3547697,1.2494318
7,2.0678737,1.7972059,-1.9517397,1.2516075,1.0652857,0.12609817,0.5566547,-1.7217674,-2.037668,0.065973625
8,0.39742324,-0.8446082,-0.029717162,0.8839741,-0.70549625,-0.97463053,-0.8698309,-0.41547543,-0.6874801,-1.0824236
9,0.36858425,0.60420597,-1.0995239,0.024988264,1.5794942,-0.94619745,2.3244987,-1.0010328,-0.71795857,-0.6650157
10,-0.893148,-0.3255478,-0.52141345,1.3525269,0.38187554,-1.1917852,0.89742315,1.7285607,0.5641248,0.600943
11,1.3765782,0.13491604,0.07490441,-1.1104004,0.21981329,-1.2605503,0.11530386,1.7405353,0.16641425,-0.9173586
12,-0.8200707,0.5053376,0.759356,0.10374279,1.2630273,-0.89035684,-0.7881933,1.4502183,-1.0498933,-0.8963224
13,0.008526482,-1.608863,-0.5746826,0.11741548,1.0060195,0.02621239,2.32438,-0.27796084,-0.8673996,-1.4258533
14,-1.7963773,-1.5021275,-0.08569038,-1.0509211,0.47413564,-0.672707,-0.51697147,2.5009525,-2.7881148,0.6126556
15,-0.819425,1.1178038,-1.1449108,-2.5670083,-1.4077066,-1.4763467,-1.3812605,0.4364596,-0.58188176,1.3192911
16,-0.3933748,-0.3110957,-0.365819,0.16586107,0.85670215,-1.260369,-0.07266068,-0.015115229,-0.90677387,-0.6400138
17,0.70658517,0.40115535,-1.8081917,0.06320669,0.43895048,-1.2770236,-0.8354461,-1.6084347,-0.94336265,-1.1806915
18,0.0054992437,-0.37948623,-0.63179284,-0.1273571,0.692794,-0.8950411,0.21946083,-0.9403458,-0.59202707,-0.2856861
19,1.118684,-0.48851663,-0.7513372,1.0990332,0.5530586,0.3813938,0.80162555,-0.9104236,-1.4045086,0.32502252
20,0.8852075,-0.12627003,-0.31825796,0.14765449,0.529253,-0.3191861,-1.0204836,-2.2050862,0.44610432,-1.0312082
21,0.59025264,0.5013866,0.5535521,-0.3328022,1.4060735,-0.6870888,-2.697659,-0.052348204,-0.38623065,-0.9128793
22,0.39442775,0.44382176,-0.6627056,-1.7655808,1.0343479,-0.68725747,1.7005649,-0.4419897,-0.50714624,-0.037319746
23,0.3537751,0.66128737,-1.019591,-0.5590297,1.204227,-1.2954854,0.62919223,-0.12433402,0.8697868,-0.6188858
24,0.43038917,1.1101233,-1.3226993,0.1883082,0.8333477,-0.20853755,-1.8047954,-0.4243635,-1.343039,0.47184908
25,0.18325391,0.63476783,-0.34392703,0.8965708,1.0574332,-0.8557238,0.25996798,-0.8759757,0.33178723,-1.5777264
26,-1.1414587,1.3299191,-1.96285,-5.8863115,-2.4382644,0.4268494,-1.4006453,4.568741,0.5349124,-1.6279432
27,1.3632165,-0.71161944,0.0247659,0.6147271,-0.9535522,-0.18211183,-0.8884544,-2.935659,-0.7986524,-1.5117427
28,-0.8501831,-0.2877965,-0.7452156,0.016148414,0.7939072,-0.70112956,-0.9507404,1.0156114,-1.1104578,-0.7754007
29,0.5599434,1.0013136,-0.29460096,-1.3833387,1.3249995,-0.63480186,-0.026872061,-0.18207721,-0.15106839,-1.0420637
30,-0.76300865,-0.006634455,0.25143024,-1.151094,0.9240079,-1.9753766,0.067205265,1.4389265,-1.0653571,-0.8467956
31,0.31163758,0.32048482,-0.80312407,-0.51662666,0.91047734,-1.7288387,-0.22218885,0.46010426,-0.1345952,-0.7539178
32,1.2305831,1.4971756,-1.3142152,-2.3125956,0.263155,0.20013143,-0.7291474,-1.0639718,0.7124196,2.4034812
33,3.7181275,-0.83703953,-1.98089,1.4534688,0.22690882,0.35156465,-0.47239256,-1.0903082,2.3004653,0.06594239
34,-1.3830465,-1.2923546,0.45714256,1.1830543,0.37502652,0.01699701,0.17540275,-1.5915833,-0.38802436,-2.3879697
35,1.0248692,-0.9346681,-1.1291493,-0.65953505,1.3064682,-0.7727902,0.1331184,-0.9613514,-0.84924215,0.9411901
36,-0.27270082,-2.5908453,0.12971705,-0.24186525,0.6440635,0.44101733,-1.0053172,0.65164876,-0.42025498,1.3400165
37,-0.1022253,-0.34284115,-0.92546403,-0.23541488,0.4846521,-1.647782,-1.1759264,0.7370858,-1.2587719,0.21718007
38,2.617388,-0.82150227,-2.2413085,-0.68839467,0.6412559,-2.3112426,-1.3892561,-0.032025382,1.6178839,0.00065115094
39,1.6232282,2.460899,0.52734965,-0.6295144,0.27187544,0.8597204,0.63059294,-0.05450079,-0.45866883,-0.7813292
40,0.7592649,2.6153378,0.019068763,-4.784796,-0.95175683,1.3523004,1.0741096,-0.2264554,-0.66939765,-0.25955904
41,0.59289724,-1.0892262,-0.01827745,0.021105276,0.08564176,-1.1131617,-0.87661177,-0.2555971,-0.30642152,0.18475208
42,0.17939956,1.327586,0.16000885,-0.3379672,0.38395315,-1.274333,-1.107307,1.9100223,-1.1206928,-0.3670573
43,0.04751794,-0.15833938,0.39494327,0.8238563,0.7881995,-1.8450952,2.7558105,-1.6761101,-1.5984735,0.760297
44,0.54261106,0.73778605,-0.78301585,0.15990941,0.9556408,-0.6260525,-0.75163716,0.82138795,-1.3494579,0.14671376
45,-1.063296,-0.13461599,-0.54551345,-0.0010268576,1.2723765,-0.5808579,-0.5249513,1.1987388,0.27508774,-1.5646659
46,0.6684649,1.2250913,0.8784218,-0.24514724,0.6875642,-0.95299053,0.31162164,-0.46467802,-1.7702667,0.09847308
47,0.8706696,0.76016265,-0.5969037,-1.6347519,1.5915049,-0.437533,0.43173274,-0.31123427,0.5338604,-2.0155897
48,-0.2832117,-0.050753597,-0.43790475,-0.3295273,0.2796787,-0.91751903,-0.48595047,-1.0579436,-1.3735499,-0.7038595
49,0.1324775,0.5107057,-0.9533739,-0.6294514,0.78847134,-2.1079009,-1.1107538,0.017697811,-0.24877593,-0.49640366
50,0.19576184,2.646242,-1.3859181,-3.080495,-0.09477435,-1.9058485,-0.5207782,-0.45786512,-0.34671068,2.0531418
51,2.1214697,-0.5049881,-1.1081176,-0.44946587,0.6141617,-1.402218,0.09783326,0.7992458,0.48524743,1.8208574
52,-0.31173757,-1.1162409,-1.1282796,0.64109254,0.3982762,-0.7098463,-0.423684,0.28898007,-0.1911532,-0.47203025
53,-0.8147701,1.5517843,-1.4309969,-1.238634,1.6525726,-1.4093981,1.5153838,-0.94575983,-0.39915025,1.7670748
54,-1.0816782,1.5815319,-0.92127395,-1.882308,0.8111144,-1.1494919,-0.12884949,0.0663956,-0.6536519,-0.30252615
55,-0.26562905,-0.5118931,-0.11696261,-1.0598174,0.7143267,-0.5820544,0.23110905,0.12776747,-2.2685223,-0.95743155
56,0.17460887,-0.24562038,0.070978716,-0.88895845,-0.91744053,-0.8844551,-1.4828702,3.4465153,-0.8376871,0.721214
57,-0.06953508,0.0932008,0.5477369,-1.8976195,-0.46165398,-1.9908569,-0.7086743,1.3439543,-0.42741588,-0.16008535
58,0.46268195,-0.13924164,-2.1686368,-0.05142498,0.9948491,-1.5887966,0.1824993,-0.24643742,-0.32334405,1.9299811
59,-0.63095754,-0.26860952,0.44805562,-1.156097,-0.19403177,-2.005718,-0.8082323,0.25878462,-0.7869694,-0.39237967
60,-0.9561587,-0.5936079,-0.22122034,-0.5472356,0.23984867,-1.7105345,0.3427645,-0.36859196,-1.1869972,0.6239205
61,-0.7055676,0.16986491,-1.3250806,-0.054000396,0.10132024,-1.3246204,-0.08033256,-0.23838621,-1.3511076,0.08680533
62,0.06609086,-0.16743885,-0.6016849,-1.7132027,0.9825418,-1.5352573,0.3449151,0.8299782,-2.7038064,-1.0162991
63,0.8321298,0.98941356,-0.62021923,-1.030194,-0.12504527,-1.4645537,0.42867056,-0.2825989,-0.35405463,-1.8392348
64,-0.095221505,-1.6273992,0.19150601,1.2916,-1.811965,0.21716195,-1.2177331,-0.55688524,-1.4564176,-0.21146147
65,-0.67467695,1.0760221,-0.7715812,-3.8181164,-0.66325396,-1.0014511,-0.7127595,0.026700247,-0.24441686,-0.14538938
66,-0.42409223,-0.7503264,0.33039266,-0.7577676,0.23397753,-2.1438234,1.2254778,-0.3320842,0.4228964,0.21108997
67,0.21254124,-0.33983228,-0.56684834,0.5127267,0.84352225,-0.84851485,0.6362385,-1.1124063,-1.2783126,-0.8163882
68,-0.5791948,-1.3808392,-0.24646336,-0.5289117,0.09008988,-1.087881,-0.048141845,0.60968596,-1.0992241,-0.45741493
69,-0.76297563,3.374426,0.09027807,-5.5559797,-3.0830424,1.5331676,-1.0180572,0.950398,0.69214994,0.6788943
70,0.4310432,0.62097675,-0.45258713,0.54756063,1.2986184,-0.9143007,1.4055167,-0.8086658,-0.8701857,0.24613033
71,1.6507562,3.430601,0.3326967,-3.9555864,-1.1871676,4.072027,-1.1337001,0.17904009,-1.7225257,-1.0064456
72,-0.5210448,-0.96081614,0.5018982,-0.4759657,0.73426986,-0.26124558,1.0215968,-0.17088912,-1.8771176,-1.1731005
73,1.8215373,-2.434849,0.30892187,1.6086222,-0.8007989,-0.8402751,-1.0284584,0.735199,-0.2766249,-0.6206202
74,1.0252717,-2.0809884,1.141723,-0.66105187,-0.25659332,-0.9750576,0.660372,-0.584531,-2.1378284,0.78234375
75,1.0073848,-0.29093337,0.69541514,-0.21558887,0.35600722,-0.5721012,-0.574621,0.22622235,-1.555466,0.01059887
76,0.40337235,0.27509537,1.0613017,-0.6984791,-0.06822402,-1.4200273,-0.40483895,-0.13409735,-1.4567591,-0.8026485
77,0.03683828,-0.26691604,-0.44828653,0.0036623739,0.90673316,-0.2111709,0.364344,0.31392294,0.18692182,0.74505067
78,-0.35308608,0.8864458,0.95962286,-0.14511953,0.8227629,-0.5063764,-1.395396,1.2228631,0.25306377,-1.1997875
79,0.20187767,-0.15930228,-2.7894046,-0.21198565,1.1955318,0.19144836,0.6997736,-0.7384701,-1.031775,1.5728353
80,-1.3134954,-0.92267156,-0.5840752,-1.636413,-0.075614385,-1.3398166,-0.46694604,0.8299958,-1.4601579,0.24858013
81,0.839736,0.8698733,-0.5055912,1.2867187,0.6831778,-2.5171764,-1.1119128,-0.3303695,0.8772851,0.469135
82,0.97069955,0.7911757,-2.060593,-0.4535491,0.018756961,-1.8431501,0.64058405,-0.48814413,1.6807514,-0.8733546
83,0.36106667,0.5160769,-1.2937299,-0.7102582,0.5658465,-0.92463624,-1.4258858,-0.89911145,-0.35216713,-0.29253608
84,0.8600117,0.06882586,-0.46280247,0.3642535,0.59871024,-0.9902342,1.3310076,-0.121852286,-0.61010736,0.15729968
